registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),cvap.all_races(count),cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%),land.area(square_miles),cvap.density(count/squaremiles),registered_within_county_cvap.democrats(%),registered_within_county_cvap.republicans(%),registered_within_county_cvap.libertarians(%),registered_within_county_cvap.green(%),registered_within_county_cvap.constitution(%),registered_within_county_cvap.unaffiliated(%),registered_within_county_cvap.total(%),pct_registered.within_race_cvap.black_aa(%),pct_registered.among_all_races_cvap.black_aa(%),pct_registered.among_registered.black_aa(%),pct_registered.within_race_cvap.white(%),pct_registered.among_all_races_cvap.white(%),pct_registered.among_registered.white(%),most_registered(%),CountyName,most_new_registrants(party),most_new_registered(%)
-187.0,761.0,13.0,9.0,12.0,598.0,293.0,17.0,0.0,896.0,17.0,229.0,64.0,913.0,1206.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.26590072091799755,1.0820879605272502,0.01848507685526185,0.012797360899796661,0.017063147866395546,0.8503135353420461,1.71484636057275,0.3489326765188707,0.024172792810726484,-0.09490939888759709,0.48259050630827005,0.41662519373782914,-1.3543117649077203,1.0820879605272502,BURKE,republicans,1.0820879605272502
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,0.0,383.974666519188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CABARRUS,democrats,0.0
5.0,-1.0,0.0,0.0,0.0,10.0,-7.0,0.0,-1.0,22.0,3.0,-9.0,16.0,7.0,14.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,0.0,383.974666519188,0.0035711479812299274,-0.0007142295962481171,0.0,0.0,0.0,0.007142295962459855,0.009999214347445218,0.0,0.0,-0.0018900405795498898,-0.00670543044073213,-0.0049996071737155034,-0.01187665801745652,-0.0007142295962481171,CABARRUS,unaffiliated,0.007142295962459855
7.0,-8.0,0.0,-1.0,0.0,-14.0,-26.0,-1.0,-4.0,15.0,3.0,-20.0,-1.0,5.0,-16.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,0.0,383.974666519188,0.004999607173719056,-0.005713836769970726,0.0,-0.0007142295962460146,0.0,-0.009999214347445218,-0.011427673539941452,-0.004042690815012406,-0.0007142295962445644,0.0014425231596852939,-0.024905884494174302,-0.0185699695023942,-0.010835361342302008,-0.005713836769970726,CABARRUS,democrats,0.004999607173719056
5.0,-5.0,-1.0,-1.0,0.0,-13.0,-23.0,-3.0,-4.0,15.0,3.0,-19.0,-1.0,5.0,-15.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,0.0,383.974666519188,0.0035711479812299274,-0.00357114798123348,-0.0007142295962460077,-0.0007142295962460146,0.0,-0.0092849847511971,-0.01071344394368623,-0.012128072445023008,-0.002142688788737246,-0.00012848486243299817,-0.02203212859099324,-0.016427280713656955,-0.009170851247986889,-0.00357114798123348,CABARRUS,democrats,0.0035711479812299274
-12.0,-2.0,-4.0,-1.0,0.0,-31.0,-43.0,-17.0,-3.0,13.0,2.0,-27.0,-28.0,5.0,-50.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,0.0,383.974666519188,-0.008570755154952536,-0.0014284591924962342,-0.0028569183849840307,-0.0007142295962460146,0.0,-0.02214111748362768,-0.03571147981230638,-0.06872574385511143,-0.012141903136182464,-0.005455537118411513,-0.041190501278819625,-0.030711872638576665,-0.006399006802652707,-0.0014284591924962342,CABARRUS,constitution,0.0
-45.0,-63.0,-5.0,-1.0,0.0,-101.0,-161.0,-43.0,-4.0,-7.0,-1.0,-97.0,-108.0,-10.0,-215.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,0.0,383.974666519188,-0.0321403318310729,-0.04499646456350348,-0.0035711479812300384,-0.0007142295962460146,0.0,-0.07213718922084666,-0.15355936319289754,-0.1738357050452919,-0.030711872638576665,-0.0018442646641005922,-0.1542249001369811,-0.11499096499559869,-0.010363895367987652,-0.04499646456350348,CABARRUS,constitution,0.0
-144.0,-168.0,-7.0,-1.0,0.0,-200.0,-379.0,-105.0,-4.0,-32.0,-6.0,-222.0,-273.0,-25.0,-520.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,0.0,383.974666519188,-0.10284906185942688,-0.1199905721693284,-0.004999607173722054,-0.0007142295962460146,0.0,-0.1428459192492042,-0.37139939004792666,-0.4244825355756916,-0.07499410760583203,-0.005190946642493088,-0.3630511624342603,-0.27069301697723347,-0.01763040881996858,-0.1199905721693284,CABARRUS,constitution,0.0
-8.0,6.0,2.0,1.0,1.0,93.0,-228.0,-13.0,-5.0,341.0,25.0,-87.0,-111.0,293.0,95.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,0.0,383.974666519188,-0.005713836769970726,0.004285377577474492,0.0014284591924920154,0.0007142295962460077,0.0007142295962460077,0.06642335245088304,0.06785181164336507,-0.05255498059509023,-0.0092849847511971,-0.02214423993299164,-0.21840544864119238,-0.16284434794408753,-0.21003849460046808,0.004285377577474492,CABARRUS,unaffiliated,0.06642335245088304
223.0,206.0,10.0,3.0,5.0,454.0,111.0,255.0,-5.0,540.0,75.0,285.0,241.0,375.0,901.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,0.0,383.974666519188,0.1592731999628576,0.1471312968266787,0.007142295962460077,0.002142688788738023,0.0035711479812300453,0.32426023669568593,0.6435208662176564,1.030886157826643,0.1821285470427334,0.06102148868002644,0.10632896841742934,0.07927948518330652,-0.35899825297485677,0.1471312968266787,CABARRUS,unaffiliated,0.32426023669568593
