Democrats,Republicans,Libertarians,Green,Constitution,Unaffiliated,White,Black,AmericanIndian,Other,Hispanic,Male,Female,UnDisclosedGender,Total,cvap_all_races,Democrats_pct,Republicans_pct,Libertarians_pct,Green_pct,Constitution_pct,Unaffiliated_pct,Total_pct,CountyName
3.0,4.0,0.0,0.0,0.0,-2.0,-5.0,-3.0,0.0,13.0,0.0,-2.0,-4.0,11.0,5.0,19935,0.015048908954099716,0.020065211938801397,0.0,0.0,0.0,-0.01003260596939981,0.025081514923499526,ANSON
-15.0,4.0,0.0,0.0,0.0,-1.0,-10.0,-13.0,0.0,11.0,0.0,-10.0,-13.0,11.0,-12.0,19935,-0.07524454477050568,0.020065211938801397,0.0,0.0,0.0,-0.005016302984699905,-0.06019563581639886,ANSON
-57.0,63.0,-1.0,0.0,-1.0,69.0,26.0,0.0,1.0,46.0,3.0,37.0,8.0,28.0,73.0,19935,-0.2859292701279159,0.3160270880361171,-0.005016302984700266,0.0,-0.00501630298470028,0.34612490594431833,0.3661901178831215,ANSON
-56.0,64.0,-1.0,0.0,-1.0,71.0,25.0,1.0,1.0,50.0,3.0,34.0,10.0,33.0,77.0,19935,-0.280912967143216,0.3210433910208188,-0.005016302984700266,0.0,-0.00501630298470028,0.35615751191371814,0.3862553298219211,ANSON
-65.0,68.0,-1.0,0.0,-1.0,68.0,24.0,-3.0,1.0,47.0,3.0,31.0,5.0,33.0,69.0,19935,-0.32605969400551515,0.3411086029596184,-0.005016302984700266,0.0,-0.00501630298470028,0.3411086029596184,0.3461249059443219,ANSON
-65.0,72.0,-1.0,0.0,-1.0,66.0,26.0,-6.0,1.0,50.0,3.0,31.0,4.0,36.0,71.0,19935,-0.32605969400551515,0.3611738148984198,-0.005016302984700266,0.0,-0.00501630298470028,0.3310759969902186,0.3561575119137217,ANSON
-68.0,66.0,-1.0,0.0,-1.0,65.0,24.0,-9.0,1.0,45.0,2.0,28.0,1.0,32.0,61.0,19935,-0.34110860295961487,0.3310759969902186,-0.005016302984700266,0.0,-0.00501630298470028,0.3260596940055187,0.30599448206672264,ANSON
-65.0,67.0,-1.0,0.0,-1.0,72.0,23.0,-6.0,1.0,54.0,2.0,31.0,-1.0,42.0,72.0,19935,-0.32605969400551515,0.3360922999749185,-0.005016302984700266,0.0,-0.00501630298470028,0.36117381489841804,0.3611738148984216,ANSON
-65.0,67.0,-1.0,0.0,-1.0,73.0,23.0,-6.0,1.0,55.0,2.0,31.0,-1.0,43.0,73.0,19935,-0.32605969400551515,0.3360922999749185,-0.005016302984700266,0.0,-0.00501630298470028,0.3661901178831215,0.3661901178831215,ANSON
-65.0,67.0,-1.0,0.0,-1.0,73.0,23.0,-6.0,1.0,55.0,2.0,31.0,-1.0,43.0,73.0,19935,-0.32605969400551515,0.3360922999749185,-0.005016302984700266,0.0,-0.00501630298470028,0.3661901178831215,0.3661901178831215,ANSON
-70.0,65.0,-1.0,0.0,-1.0,70.0,19.0,-9.0,1.0,52.0,2.0,29.0,-6.0,40.0,63.0,19935,-0.3511412089290147,0.3260596940055187,-0.005016302984700266,0.0,-0.00501630298470028,0.35114120892901823,0.31602708803612245,ANSON
-97.0,72.0,-1.0,0.0,-1.0,72.0,3.0,-18.0,1.0,59.0,2.0,17.0,-20.0,48.0,45.0,19935,-0.48658138951592633,0.3611738148984198,-0.005016302984700266,0.0,-0.00501630298470028,0.36117381489841804,0.22573363431150995,ANSON
-95.0,73.0,-1.0,0.0,-1.0,79.0,6.0,-15.0,1.0,63.0,2.0,20.0,-18.0,53.0,55.0,19935,-0.4765487835465265,0.3661901178831215,-0.005016302984700266,0.0,-0.00501630298470028,0.39628793579132093,0.2758966641585232,ANSON
-88.0,74.0,0.0,1.0,-1.0,80.0,9.0,-18.0,1.0,74.0,2.0,21.0,-19.0,64.0,66.0,19935,-0.4414346626536201,0.3712064208678214,0.0,0.005016302984700273,-0.00501630298470028,0.40130423877602084,0.33107599699022217,ANSON
-89.0,73.0,0.0,1.0,-1.0,81.0,8.0,-19.0,1.0,75.0,2.0,20.0,-20.0,65.0,65.0,19935,-0.44645096563832,0.3661901178831215,0.0,0.005016302984700273,-0.00501630298470028,0.40632054176072074,0.32605969400552226,ANSON
